-270001.1167254250	  inf
-187393.9746406671	3.05951e-01
-178661.3478491549	4.66004e-02
-175675.3663516795	1.67131e-02
-174178.4864996816	8.52072e-03
-173377.9953631242	4.59581e-03
-172915.9314921394	2.66507e-03
-172582.3710325248	1.92903e-03
-172372.0905917546	1.21844e-03
-172248.6438665227	7.16164e-04
-172143.7676991256	6.08865e-04
-172045.9296607243	5.68351e-04
-171937.0111758499	6.33078e-04
-171873.8813359094	3.67168e-04
-171802.4791821191	4.15433e-04
-171738.9121766707	3.70001e-04
-171612.4763356614	7.36210e-04
-171393.4951365457	1.27602e-03
-171317.8687309531	4.41244e-04
-171275.8418226654	2.45315e-04
-171247.3409664106	1.66403e-04
-171221.9853896182	1.48064e-04
-171140.0837569528	4.78336e-04
-171024.4135587899	6.75880e-04
-170935.8800472909	5.17666e-04
-170858.6528731443	4.51790e-04
-170788.3875443190	4.11248e-04
-170724.8106972306	3.72255e-04
-170679.8329690211	2.63452e-04
-170642.2459329104	2.20220e-04
-170581.5744902545	3.55548e-04
-170503.5583146786	4.57354e-04
-170430.3419666484	4.29412e-04
-170341.8441358868	5.19261e-04
-170241.9871158499	5.86215e-04
-170163.2799499049	4.62325e-04
-170119.2541955198	2.58727e-04
-170080.8368919137	2.25826e-04
-170047.9085570797	1.93604e-04
-170020.5625677276	1.60813e-04
-170014.1226823885	3.78771e-05
